
2025/06/06 (12:39:39) | ===> btop++ v.1.4.0
2025/06/06 (12:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/12 (16:29:40) | ===> btop++ v.1.4.0
2025/06/12 (16:29:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (16:29:55) | WARNING: Failed to join _runner thread on exit!

2025/06/12 (16:35:35) | ===> btop++ v.1.4.0
2025/06/12 (16:35:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/12 (21:02:16) | ===> btop++ v.1.4.0
2025/06/12 (21:02:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (21:02:17) | WARNING: Failed to join _runner thread on exit!

2025/06/12 (21:04:06) | ===> btop++ v.1.4.0
2025/06/12 (21:04:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (21:04:09) | WARNING: Failed to join _runner thread on exit!

2025/06/12 (21:04:48) | ===> btop++ v.1.4.0
2025/06/12 (21:04:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (21:05:03) | WARNING: Failed to join _runner thread on exit!

2025/06/13 (14:23:10) | ===> btop++ v.1.4.0
2025/06/13 (14:23:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/13 (14:23:21) | WARNING: Failed to join _runner thread on exit!

2025/06/16 (14:36:42) | ===> btop++ v.1.4.0
2025/06/16 (14:36:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/16 (14:37:01) | WARNING: Failed to join _runner thread on exit!

2025/06/16 (14:37:20) | ===> btop++ v.1.4.0
2025/06/16 (14:37:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/16 (14:37:38) | WARNING: Failed to join _runner thread on exit!

2025/06/17 (14:22:05) | ===> btop++ v.1.4.0
2025/06/17 (14:22:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/17 (14:22:07) | WARNING: Failed to join _runner thread on exit!

2025/06/19 (03:08:24) | ===> btop++ v.1.4.0
2025/06/19 (03:08:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/19 (03:08:47) | WARNING: Failed to join _runner thread on exit!

2025/06/19 (15:52:32) | ===> btop++ v.1.4.0
2025/06/19 (15:52:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/19 (15:52:37) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (20:26:46) | ===> btop++ v.1.4.0
2025/06/21 (20:26:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/21 (20:26:51) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (20:26:59) | ===> btop++ v.1.4.0
2025/06/21 (20:26:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/21 (21:01:40) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (21:36:58) | ===> btop++ v.1.4.0
2025/06/21 (21:36:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/21 (21:37:14) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (21:40:20) | ===> btop++ v.1.4.0
2025/06/21 (21:40:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/21 (21:40:34) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (21:40:44) | ===> btop++ v.1.4.0
2025/06/21 (21:40:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/21 (21:40:58) | WARNING: Failed to join _runner thread on exit!

2025/06/22 (01:39:30) | ===> btop++ v.1.4.0
2025/06/22 (01:39:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/22 (01:39:39) | WARNING: Failed to join _runner thread on exit!
